//id - hitpoints attackemote defenceemote deathemote attackspeed respawndelay maxhit attackstyle attackgfx attackprojectile agrotype agroratio
//dummy
105 - 270 4925 4927 4929 4 30 30 MELEE -1 -1 PASSIVE 2
//Black bear
106 - 250 17286 17287 17290 4 30 40 MELEE -1 -1 PASSIVE 4
//Scorpion
107 - 170 6254 6255 6256 4 30 30 MELEE -1 -1 AGRESSIVE 2
//Poison Scorpion
108 - 230 6254 6255 -1 4 30 30 MELEE -1 -1 PASSIVE 2
//Pit Scorpion
109 - 320 6254 6259 -1 4 30 30 MELEE -1 -1 PASSIVE 2
//Fire giant
110 - 1110 4666 4671 4668 5 30 116 MELEE -1 -1 PASSIVE 2
//Ice giant
111 - 700 4672 4671 4673 5 30 77 MELEE -1 -1 PASSIVE 2
//Moss giant
112 - 600 4658 4671 4659 5 30 110 MELEE -1 -1 PASSIVE 2
//Jogre
113 - 600 2100 8578 8576 6 30 73 MELEE -1 -1 AGRESSIVE 2
//Mogre
114 - 480 2100 8578 8576 4 30 89 MELEE -1 -1 AGRESSIVE 2
//Ogre
115 - 600 2100 8578 8576 6 30 73 MELEE -1 -1 AGRESSIVE 2
//Cyclops
116 - 750 4652 4651 4653 4 30 60 MELEE -1 -1 AGRESSIVE 2
//Hill Giant
117 - 350 4652 4654 4653 6 30 48 MELEE -1 -1 PASSIVE 2
//Dwarf
118 - 160 99 100 102 4 30 48 MELEE -1 -1 PASSIVE 4
//Chaos dwarf
119 - 610 99 100 102 5 30 63 MELEE -1 -1 PASSIVE 2
//Dwarf
120 - 175 99 100 102 5 30 35 MELEE -1 -1 PASSIVE 5
//Dwarf
121 - 43 99 100 102 4 30 7 MELEE -1 -1 PASSIVE 5
//Pheasant
122 - 6 2371 2372 2373 4 30 0 MELEE -1 -1 PASSIVE 5
//Earth warrior
124 - 540 390 424 836 4 30 56 MELEE -1 -1 PASSIVE 2
//Ice warrior
125 - 590 391 425 843 4 30 61 MELEE -1 -1 PASSIVE 2
//Otherworldly being
126 - 660 14094 14095 14096 4 30 70 MELEE -1 -1 PASSIVE 4
//Magic axe
127 - 440 185 186 188 4 30 70 MELEE -1 -1 PASSIVE 2
//Snake
128 - 25 275 276 278 4 15 4 MELEE -1 -1 PASSIVE 2
//Penguin
131 - 37 5669 5670 5671 4 30 12 MELEE -1 -1 PASSIVE 5
//Monkey
132 - 37 220 221 223 4 30 6 MELEE -1 -1 PASSIVE 2
//Black unicorn
133 - 290 6376 6375 6377 4 30 38 MELEE -1 -1 AGRESSIVE 4
//Poison spider
134 - 640 5327 5328 5329 4 30 72 MELEE -1 -1 PASSIVE 2
//Terrorbird
138 - 340 1010 1012 1013 4 30 30 MELEE -1 -1 PASSIVE 4
//Terrorbird
139 - 340 1010 1012 1013 4 30 30 MELEE -1 -1 PASSIVE 4
//Soulless
140 - 240 338 339 340 4 30 20 MELEE -1 -1 PASSIVE 2
//Big Wolf
141 - 740 6559 6557 6558 4 30 74 MELEE -1 -1 PASSIVE 2
//Jungle Wolf
143 - 690 6559 6557 6558 4 30 69 MELEE -1 -1 PASSIVE 2
//King Scorpion
144 - 300 6254 6255 6256 4 30 40 MELEE -1 -1 PASSIVE 2
//Ice warrior
145 - 590 799 425 836 4 30 61 MELEE -1 -1 AGRESSIVE 2
//Shadow warrior
158 - 670 394 425 843 4 30 65 MELEE -1 -1 PASSIVE 2
//Gnome child
159 - 6 191 193 196 4 30 1 MELEE -1 -1 PASSIVE 5
//Gnome child
160 - 6 191 -193 196 4 30 1 MELEE -1 -1 PASSIVE 5
//Gnome child
161 - 6 191 -193 196 4 30 1 MELEE -1 -1 PASSIVE 5
//Gnome guard
163 - 237 192 193 196 6 30 57 MELEE -1 -1 PASSIVE 5
//Gnome guard
164 - 237 192 193 196 6 30 57 MELEE -1 -1 PASSIVE 5
//Gnome woman
168 - 20 191 193 196 4 30 10 MELEE -1 -1 PASSIVE 4
//Gnome woman
169 - 20 191 193 196 4 30 10 MELEE -1 -1 PASSIVE 4
//Man
170 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Dark wizard
172 - 250 810 425 836 4 30 20 MAGE -1 -1 PASSIVE 2
//Invrigar the Necromancer
173 - 240 422 425 836 4 30 30 MAGE -1 -1 PASSIVE 4
//Dark wizard
174 - 120 810 425 836 4 30 20 MAGE -1 -1 PASSIVE 2
//Mugger
175 - 80 422 425 836 4 30 14 MELEE -1 -1 AGRESSIVE 2
//Witch
176 - 137 423 425 836 4 30 22 MAGE -1 -1 PASSIVE 5
//Black Knight
178 - 420 390 388 836 5 30 47 MELEE -1 -1 PASSIVE 2
//Black Knight
179 - 420 390 388 836 5 30 47 MELEE -1 -1 AGRESSIVE 2
//Highwayman
180 - 130 386 425 836 4 30 30 MELEE -1 -1 PASSIVE 2
//Chaos druid
181 - 200 7182 425 836 4 30 30 MELEE -1 -1 PASSIVE 2
//Pirate
182 - 200 422 425 836 4 30 20 MELEE -1 -1 AGRESSIVE 2
//Pirate
183 - 200 422 425 836 4 30 20 MELEE -1 -1 AGRESSIVE 2
//Pirate
184 - 230 422 425 836 5 30 20 MELEE -1 -1 AGRESSIVE 2
//Thug
186 - 87 386 387 836 5 30 17 MELEE -1 -1 PASSIVE 5
//Rogue
187 - 170 386 425 836 4 30 20 MELEE -1 -1 PASSIVE 4
//Monk of Zamorak
188 - 200 422 425 836 4 30 20 MELEE -1 2731 PASSIVE 2
//Monk of Zamorak
189 - 100 422 425 836 4 30 20 MELEE -1 2731 PASSIVE 2
//Monk of Zamorak
190 - 400 422 425 836 4 30 20 MELEE -1 2731 PASSIVE 2
//Tribesman
191 - 268 428 -1 836 4 30 43 MELEE -1 -1 PASSIVE 5
//Dark warrior
192 - 75 390 -1 836 4 30 12 MELEE -1 -1 PASSIVE 5
//Chaos druid warrior
193 - 400 401 425 836 4 30 50 MELEE -1 -1 PASSIVE 2
//Necromancer
194 - 175 422 -1 836 4 30 28 MAGE -1 -1 PASSIVE 5
//Guard Bandit
196 - 125 386 -1 836 4 30 20 MELEE -1 -1 PASSIVE 5
//Gunthor the Brave
199 - 181 395 -1 836 6 30 43 MELEE -1 -1 PASSIVE 5
//Jailer
201 - 470 -1 425 -1 6 30 50 MELEE -1 -1 PASSIVE 2
//Black Heather
202 - 370 390 425 836 6 30 100 MELEE -1 -1 PASSIVE 4
//Donny the Lad
203 - 370 390 425 836 6 30 40 MELEE -1 -1 PASSIVE 4
//Speedy Keith
204 - 370 390 425 836 6 30 40 MELEE -1 -1 PASSIVE 4
//Salarin the Twisted
205 - 700 422 425 836 4 30 74 MELEE -1 -1 PASSIVE 2
//Guard
206 - 75 -1 -1 102 4 30 12 MELEE -1 -1 AGRESSIVE 5
//Black Knight Titan
221 - 1420 128 129 131 7 30 150 MELEE -1 -1 PASSIVE 2
//Monk
222 - 62 422 -1 836 4 30 10 MELEE -1 -1 PASSIVE 5
//Dungeon rat
224 - 120 4933 4934 4935 4 30 20 MELEE -1 -1 PASSIVE 2
//Renegade Knight
237 - 490 6489 6929 6490 4 30 75 MELEE -1 -1 PASSIVE 2
//Thrantax the Mighty
238 - 800 5540 5541 5542 4 30 100 MELEE -1 -1 PASSIVE 4
//Sir Mordred
247 - 500 6489 6488 6490 4 30 57 MELEE -1 -1 AGRESSIVE 2
//Khazard Guard
255 - 220 395 425 836 4 30 30 MELEE -1 -1 PASSIVE 4
//Khazard Guard
256 - 220 395 425 836 4 30 30 MELEE -1 -1 PASSIVE 4
//Bouncer
269 - 1160 6581 6578 6576 4 30 140 MELEE -1 -1 AGRESSIVE 2
//Khazard ogre
270 - 287 2100 -1 8576 6 30 4 MELEE -1 -1 AGRESSIVE 5
//Khazard scorpion
271 - 225 6254 6255 6256 4 30 3 MELEE -1 -1 AGRESSIVE 5
//Guardian of Armadyl
274 - 500 10797 425 10800 5 30 60 MELEE -1 -1 PASSIVE 4
//Guardian of Armadyl
275 - 187 10797 -1 10801 5 30 30 MELEE -1 -1 PASSIVE 5
//Fire Warrior of Lesarkus
277 - 590 55 425 836 6 30 80 MELEE -1 -1 PASSIVE 4
//Monk
281 - 25 422 -1 836 4 30 4 MELEE -1 -1 PASSIVE 5
//Thief
282 - 160 386 425 836 4 30 20 MELEE -1 -1 PASSIVE 4
//Head Thief
283 - 112 390 -1 836 4 30 18 MELEE -1 -1 PASSIVE 5
//Guard
296 - 220 7218 7221 7219 4 30 34 MELEE -1 -1 PASSIVE 4
//Guard
297 - 220 7218 7221 7220 4 30 34 MELEE -1 -1 PASSIVE 4
//Guard
298 - 220 7218 7221 7219 4 30 34 MELEE -1 -1 PASSIVE 4
//Guard
299 - 220 583 7221 7213 4 30 34 MELEE -1 -1 PASSIVE 4
//Man
351 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
352 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
353 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
354 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
360 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
361 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
362 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Woman
363 - 12 422 -1 836 4 30 2 MELEE -1 -1 PASSIVE 5
//Ogre
374 - 700 17505 17507 17506 5 30 73 MELEE -1 -1 AGRESSIVE 2
//Pheasant
390 - 6 2371 -1 2373 4 30 0 MELEE -1 -1 PASSIVE 5
//Pheasant
392 - 6 2371 -1 2373 4 30 0 MELEE -1 -1 PASSIVE 5
//Cow
397 - 107 245 150 244 4 30 15 MELEE -1 -1 PASSIVE 4
//Bat
412 - 80 8275 8274 8276 4 0 2 MELEE -1 -1 AGRESSIVE 4
//null
444 - 64 6184 6183 6182 4 30 16 MELEE -1 -1 PASSIVE 4
//null
445 - 64 6184 6183 6182 4 30 16 MELEE -1 -1 PASSIVE 4
//Giant rat
446 - 50 5327 5328 5329 4 30 17 MELEE -1 -1 PASSIVE 2
//Jail guard
447 - 320 401 425 836 4 30 39 MELEE -1 -1 PASSIVE 4
//Jail guard
448 - 320 401 425 836 4 30 39 MELEE -1 -1 PASSIVE 4
//Jail guard
449 - 320 401 425 836 4 30 39 MELEE -1 -1 PASSIVE 4
//Suit of armour
453 - 31 390 -1 836 4 30 5 MELEE -1 -1 PASSIVE 5
//Skeleton warlock
459 - 180 422 425 836 4 30 30 MELEE -1 -1 PASSIVE 2
//Khazard trooper
475 - 220 401 425 836 4 30 33 MELEE -1 -1 PASSIVE 4
//Famished mage-eye
476 - 50 14916 -1 14917 24 30 75 MAGE -1 -1 PASSIVE 5
//Khazard warlord
477 - 1690 401 425 836 4 30 92 MELEE -1 -1 PASSIVE 2
//Khazard commander
478 - 218 428 -1 836 4 30 35 MELEE -1 -1 PASSIVE 5
//Gnome troop
479 - 200 190 -1 196 4 30 32 MELEE -1 -1 PASSIVE 5
//Goblin guard
489 - 125 6199 -1 6190 4 30 20 MELEE -1 -1 PASSIVE 5
//Ghost
491 - 200 5540 5541 5542 4 30 27 MELEE -1 -1 AGRESSIVE 2
//Grave scorpion
493 - 70 6254 6255 6256 4 30 50 MELEE -1 -1 AGRESSIVE 4
//Undead one
502 - 470 5485 5489 5491 4 30 77 MELEE -1 -1 PASSIVE 2
//Undead one
503 - 206 5485 -1 5491 4 30 33 MELEE -1 -1 PASSIVE 5
//Undead one
504 - 470 5568 5567 5569 4 30 77 MELEE -1 -1 PASSIVE 2
//Undead one
505 - 600 5571 5574 5575 4 30 77 MELEE -1 -1 PASSIVE 2
//Nazastarool
507 - 1000 5571 5574 5575 4 30 90 MELEE -1 -1 AGRESSIVE 2
//Nazastarool
508 - 750 5507 5508 5509 4 30 90 MELEE -1 -1 AGRESSIVE 2
//Nazastarool
509 - 1100 5532 5533 5534 4 30 90 MELEE -1 -1 AGRESSIVE 2
//Gravecreeper
532 - 1250 14503 -1 14500 4 30 10 MELEE -1 -1 AGRESSIVE 5
//Fortress guard
609 - 220 400 425 836 4 30 30 MELEE -1 -1 PASSIVE 4
//Weaponsmaster
643 - 187 390 -1 836 4 30 18 MELEE -1 -1 PASSIVE 5
//Jonny the beard
645 - 80 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Tree spirit
655 - 281 5532 5533 5534 4 30 45 MELEE -1 -1 PASSIVE 4
//Chronozon
667 - 600 64 65 67 4 30 180 MELEE -1 -1 AGRESSIVE 2
//Foreman
674 - 125 422 -1 836 4 30 20 MELEE -1 -1 PASSIVE 5
//Black demon
677 - 1570 64 65 67 4 30 167 MELEE -1 -1 AGRESSIVE 2
//Tower Archer
688 - 300 426 425 836 4 30 160 RANGE -1 -1 AGRESSIVE 2
//Tower Archer
689 - 500 426 425 836 4 30 160 RANGE -1 -1 AGRESSIVE 2
//Tower Archer
690 - 700 426 425 836 4 30 160 RANGE -1 -1 AGRESSIVE 2
//Tower Archer
691 - 900 426 425 836 4 30 160 RANGE -1 -1 AGRESSIVE 2
//Imp
708 - 25 169 -1 172 4 30 4 MELEE -1 -1 PASSIVE 5
//Elvarg
742 - 800 12252 12251 12250 4 30 100 MAGE_FOLLOW -1 -1 AGRESSIVE 64
//Wormbrain
745 - 6 6184 -1 6204 4 30 1 MELEE -1 -1 PASSIVE 5
//Angry barbarian spirit
749 - 1900 6726 6728 6727 4 30 188 MELEE -1 -1 AGRESSIVE 2
//Enraged barbarian spirit
750 - 1900 6726 6728 6727 4 30 188 MELEE -1 -1 AGRESSIVE 2
//Berserk barbarian spirit
751 - 1900 6726 6728 6727 4 30 188 MELEE -1 -1 AGRESSIVE 2
//Ferocious barbarian spirit
752 - 1900 6726 6728 6727 4 30 188 MELEE -1 -1 PASSIVE 2
//Melzar the Mad
753 - 440 423 425 836 4 30 50 MELEE -1 -1 PASSIVE 2
//Glophren
767 - 880 192 194 196 5 30 120 MELEE -1 -1 AGRESSIVE 2
//Ice Queen
795 - 1050 422 425 836 4 30 100 MELEE -1 -1 PASSIVE 4
//Pirate Guard
799 - 250 390 425 836 4 30 20 MELEE -1 -1 PASSIVE 4
//Monk
803 - 75 422 -1 836 4 30 12 MELEE -1 -1 PASSIVE 5
//Rowdy slave
827 - 180 422 425 836 4 30 40 MELEE -1 -1 AGRESSIVE 2
//Mercenary Captain
830 - 125 390 -1 836 4 30 20 MELEE -1 -1 PASSIVE 5
//Shantay guard
837 - 320 390 425 836 4 30 30 MELEE -1 -1 PASSIVE 4
//Desert wolf
839 - 68 6559 -1 6558 4 30 11 MELEE -1 -1 PASSIVE 5
//Ugthanki
840 - 460 -1 -1 9674 4 30 40 MELEE -1 -1 AGRESSIVE 2
//Possessed pickaxe
842 - 400 -1 186 -1 4 30 60 MELEE -1 -1 PASSIVE 2
//Ogre chieftain
852 - 600 11470 11473 11476 4 30 90 MELEE -1 -1 PASSIVE 4
//Gorad
856 - 810 11458 11459 11457 4 30 70 MELEE -1 -1 PASSIVE 4
//City guard
862 - 1450 2100 -1 8576 4 30 69 MELEE -1 -1 PASSIVE 5
//Enclave guard
870 - 800 2100 11459 8576 4 30 100 MELEE -1 -1 PASSIVE 4
//Tower guard
877 - 425 386 -1 836 4 30 20 MELEE -1 -1 PASSIVE 5
//Colonel Radick
878 - 710 395 425 836 4 30 40 MELEE -1 -1 PASSIVE 4
//Delrith
879 - 70 64 65 67 4 30 30 MELEE -1 -1 PASSIVE 4
//Clivet
893 - 250 811 425 836 4 30 200 MELEE -1 -1 PASSIVE 4
//Hazeel Cultist
894 - 250 422 425 836 4 30 20 MELEE -1 -1 PASSIVE 4
//Witch's experiment
897 - 300 255 -1 258 4 30 14 MELEE -1 -1 PASSIVE 5
//Witch's experiment (second form)
898 - 425 5327 -1 5329 4 30 20 MELEE -1 -1 PASSIVE 5
//Witch's experiment (third form)
899 - 675 4925 -1 4929 4 30 32 MELEE -1 -1 PASSIVE 5
//Witch's experiment (fourth form)
900 - 875 6559 -1 6558 4 30 42 MELEE -1 -1 PASSIVE 5
//Battle mage
912 - 1000 811 425 836 4 30 200 MAGE -1 -1 AGRESSIVE 2
//Battle mage
913 - 1000 811 425 836 4 30 200 MAGE -1 -1 AGRESSIVE 2
//Battle mage
914 - 1000 197 193 196 4 30 200 MAGE -1 -1 AGRESSIVE 2
//Jail guard
917 - 320 401 425 836 4 30 39 MELEE -1 -1 PASSIVE 4
//Jungle savage
931 - 900 428 425 836 4 30 140 MELEE -1 -1 PASSIVE 2
//Nezikchened
934 - 1500 64 65 67 5 30 180 MELEE -1 -1 AGRESSIVE 2
//Ranalph Devere
938 - 1300 5485 5489 5491 4 30 230 MELEE -1 -1 AGRESSIVE 2
//Green dragon
941 - 750 12252 12251 12250 4 30 85 MELEE -1 -1 PASSIVE 2
//Giant rat
950 - 50 5327 5328 5329 4 30 17 MELEE -1 -1 AGRESSIVE 2
//Chicken
951 - 3 3701 -1 3806 4 30 0 MELEE -1 -1 PASSIVE 5
//Blessed spider
977 - 187 5327 -1 5329 4 30 30 MELEE -1 -1 PASSIVE 5
//Blessed giant rat
978 - 75 14859 -1 14860 4 30 12 MELEE -1 -1 PASSIVE 5
//Sir Jerro
988 - 570 400 425 836 4 30 80 MELEE -1 -1 PASSIVE 4
//Sir Carl
989 - 570 400 425 836 4 30 80 MELEE -1 -1 PASSIVE 4
//Sir Harry
990 - 570 400 425 836 4 30 80 MELEE -1 -1 PASSIVE 4
//Kalrag
997 - 910 5319 5320 5321 4 30 160 MELEE -1 -1 AGRESSIVE 2
//Othainian
998 - 900 64 65 67 4 30 93 MELEE -1 -1 AGRESSIVE 2
//Doomion
999 - 900 64 65 67 4 30 93 MELEE -1 -1 AGRESSIVE 2
//Holthion
1000 - 900 64 65 67 4 30 93 MELEE -1 -1 AGRESSIVE 2
//Disciple of Iban
1002 - 200 422 425 836 4 30 20 MAGE -1 -1 PASSIVE 4
//Spider
1004 - 20 6249 6250 6251 4 30 15 MELEE -1 -1 PASSIVE 2
//Zamorak wizard
1007 - 730 422 425 836 5 30 200 MAGE -1 -1 PASSIVE 2
//Poison spider
1009 - 640 5327 5328 5329 4 30 72 MELEE -1 -1 AGRESSIVE 2
//Chicken
1017 - 30 5387 5388 5389 4 30 15 MELEE -1 -1 PASSIVE 4
//Rooster
1018 - 70 -1 5388 3806 4 30 15 MELEE -1 -1 PASSIVE 4
//Fire elemental
1019 - 300 1029 1030 1031 4 30 60 MAGE -1 2731 PASSIVE 4
//Earth elemental
1020 - 350 4868 4869 4870 6 30 49 MELEE -1 -1 PASSIVE 2
//Air elemental
1021 - 300 1040 1042 1041 4 30 30 MELEE -1 -1 PASSIVE 4
//Water elemental
1022 - 300 1044 1046 1048 4 30 40 MELEE -1 -1 PASSIVE 4
//Monk of Zamorak
1044 - 200 -1 425 836 4 30 20 MAGE -1 2731 PASSIVE 2
//Monk of Zamorak
1045 - 100 -1 425 836 4 30 20 MAGE -1 2731 PASSIVE 2
//Monk of Zamorak
1046 - 250 -1 425 836 4 30 20 MAGE -1 2731 PASSIVE 2
//Ghast
1053 - 450 12519 9468 9467 4 30 30 MELEE -1 -1 PASSIVE 2
//Ocga
1085 - 100 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Penda
1087 - 100 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Hygd
1088 - 100 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Ceolburg
1089 - 100 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//White Knight
1092 - 530 7042 7050 836 4 30 60 MELEE -1 -1 PASSIVE 4
//Rock
1095 - 393 6523 13792 13785 4 30 63 MELEE -1 -1 PASSIVE 2
//Stick
1096 - 1400 -1 13792 13785 4 30 300 MELEE -1 -1 PASSIVE 2
//Pee Hat
